gvkey,GroupCount,mean_V,median_V,mode_V,std_V,min_V,max_V,skewness_V,kurtosis_V
1045,2662,20887.3645532621,20420.4288291127,17263.496148144,2113.40275460735,17263.496148144,27497.6687573692,0.908385702219947,3.21423104387734
1075,742,8079.63167838282,8062.48155727255,6709.73927308053,722.933334505771,6709.73927308053,9701.03058946711,0.355742131142575,2.38669358912379
1078,2466,91971.0146804805,90727.1674365111,58245.0144016891,16169.5369105388,58245.0144016891,140471.357572638,0.622979088477872,2.88977266079163
1161,799,10601.912329464,10774.3856112111,5935.48601558767,2891.75725429663,5935.48601558767,19330.3696883291,0.352260688051433,2.69555007878012
1177,4266,45645.4522307808,39997.0171771832,23901.2284656035,18720.8463971498,23901.2284656035,95876.33686784,1.04027097583116,2.99866306792243
1209,4836,27325.1357222588,23737.7505277862,10709.401147481,12974.1828678008,10709.401147481,76774.925444746,1.14724128469199,4.13032341303394
1300,3189,56740.5979330547,50045.5860906412,25972.9954680677,19500.6177918464,25972.9954680677,104927.500348969,0.941074500225515,2.85832966637829
1356,3866,32940.4811428268,31482.3230300609,19271.9594715441,7700.97048931987,19271.9594715441,54745.6796526496,0.297299436383363,1.84688790914569
1380,2400,33125.6029833993,31889.5577836296,18166.5624880296,6510.14347121155,18166.5624880296,55103.8333206909,0.405252190057336,3.02298609796758
1408,2389,13190.737677178,13594.2617763595,6983.72528128329,3269.17684668108,6983.72528128329,19431.0544013819,0.082354563902769,1.72296645114267
1440,3542,37995.4191135571,36482.15498746,25135.6786439735,7733.98008733953,25135.6786439735,56534.8235262294,0.476405937054144,2.19650717099669
1447,2147,144457.868224251,145459.009907342,94388.6025555994,21503.6761614277,94388.6025555994,186067.559888677,-0.358917324171688,2.75503057907014
1449,452,51178.8217507805,50002.5095645877,44415.1906800648,3853.00345532777,44415.1906800648,61052.3673468917,0.683623002842915,2.87608184231756
1468,1855,1731.48296836284,1770.91367346239,845.440496658367,442.514850843882,845.440496658367,2528.85725804082,0.0475315338196807,1.81337564454749
1487,3179,445487.87221707,432666.668323359,268277.75633075,118031.36796614,268277.75633075,661456.008661471,0.0978426175286862,1.83361992061361
1602,3022,84998.0823692046,80912.5775810009,35165.7717714224,22626.3251635524,35165.7717714224,157536.095547332,1.14909169262401,4.17822406864024
1632,754,12813.1058458896,12367.4703726362,11642.1811309093,3325.52452458009,5306.94449114154,19884.4408669149,-0.0598288875733986,3.02484328518286
1661,3143,9508.06091093735,8795.00114148864,11964.7081823333,2414.13224308406,3980.82523054292,17724.8423117037,0.512520687578618,2.75670877666244
1678,2902,31531.7756562505,30514.0446265662,7504.60548008591,14706.4688351473,7504.60548008591,58425.2787889032,-0.0676057415112733,1.71019230787483
1690,298,121736.346309728,121244.475697402,79225.0575294225,30267.3715943781,79225.0575294225,184846.936218999,0.368739779946978,2.09334361395307
1704,3123,26558.9428311213,27425.6121575822,24439.2247106665,5972.35284893679,13878.3506285908,46688.328271547,0.177273370596284,2.65571834850131
1722,4755,34959.0014746705,38137.2851903883,13398.2077789679,10386.1126590325,13398.2077789679,52230.3346738714,-0.70032331904847,2.31698087801027
1773,4040,8162.93399473246,7572.89567680372,3425.27033316179,2892.6395843736,3425.27033316179,14939.2329447628,0.473485418388956,2.20996837772829
1891,1524,39156.3490623984,38439.5456781165,31472.2096746805,4217.43407344563,31472.2096746805,50745.6722514073,0.792823477784013,3.26317098025516
1913,1788,7955.32951735954,8173.39632774525,4984.45634904649,1088.42012833775,4984.45634904649,10354.5309222433,-0.615972856959914,2.61725157368569
1919,4758,7978.89835497557,8190.39898708171,2758.587264424,2511.84169937066,2758.587264424,12719.5206914984,-0.0970285832984439,1.90919204332815
1920,4617,12965.1143194019,13699.8383530255,3759.256888991,5864.83508355499,2968.51639673482,24021.0677980686,-0.264123013408044,1.90205598696155
1932,626,165219.216814403,166706.65540968,102892.560818197,30380.8437137458,102892.560818197,224531.094812588,0.00125015896205481,2.15938368523574
1976,3478,22862.3517554898,24062.8286954838,10108.3725965924,8008.4140452406,10108.3725965924,40638.2346429567,0.135874884451474,1.80268225490984
1988,1822,7172.63258975693,7173.28220663271,4698.95667039729,1013.64705893475,4698.95667039729,9526.65662076729,-0.0935319466572921,2.32400069112141
1995,2585,17332.9030050536,16174.5751923237,8848.30780586161,5188.27945431712,8848.30780586161,30836.4835312752,0.673794792830973,2.5660715983893
2002,2507,36627.1238046866,35541.3780356348,29988.4774335043,4221.47808300366,29988.4774335043,45361.3517412156,0.508776993915035,1.9524527746766
2019,695,193609.833009966,192540.74941595,120686.28509534,25128.7060445329,120686.28509534,252254.757627491,-0.193611471890949,4.29311910922662
2025,334,3635.16498853166,3898.5261301905,2097.77210674644,754.531101428194,2097.77210674644,4708.64264020498,-0.759311344546668,2.19575115556247
2055,930,22212.6252519011,17122.9083308706,10306.4246985409,9618.48405038043,10306.4246985409,48433.2644552003,0.379425557808834,1.82504715953801
2085,1139,4476.30588504841,4541.46252570608,2951.96528910101,648.396879366865,2951.96528910101,5798.79885724863,-0.193485927063737,2.27024497934008
2086,4390,37451.517540274,38107.4079193054,17724.1917905685,8079.13182244148,17724.1917905685,53013.6115048954,-0.177539340300344,2.20712558861572
2111,263,21159.9452417274,21002.4263027326,19321.4641378594,973.730241380734,19321.4641378594,24434.7277881207,0.715924589508815,3.48564965052899
2136,1353,170085.282195361,169573.289219188,160778.481085188,9459.11718748282,142843.615506843,195515.922627701,0.377165893041707,2.87977712349527
2137,2217,34526.8863417856,33913.8653083347,23789.0790826482,5586.09899376636,23789.0790826482,51759.9089853959,0.74947239920367,3.03079492187551
2150,1245,3529.37375460432,3624.079908805,2613.50497076807,469.167121870047,2613.50497076807,4411.6564580547,0.0119246484237625,2.03536574684963
2154,1575,3862.14398972253,3788.50543417131,2634.15823646369,514.201129378549,2634.15823646369,5025.61392468075,0.202824112292309,2.04583138753114
2176,483,265111.68445211,268196.427246052,204035.746167776,27429.930799071,204035.746167776,316795.502503546,-0.266524952721623,1.94322415771055
2184,2855,23759.230543583,23983.260306078,9841.26999376055,5410.2410653894,9841.26999376055,35636.2934628305,-0.21750845006494,2.51386847438263
2259,1358,2288.14348675118,2353.10943288996,1682.96019640971,257.119673668558,1682.96019640971,2831.93599578343,-0.453235934345895,2.165473655575
2269,2150,9642.91686292687,9814.20838404484,6022.88861562459,2143.58223395663,6022.88861562459,17133.7914221842,0.752259503486743,4.30796596396106
2285,4872,134002.979307294,107419.98815135,48938.2901569764,72623.2369495737,48938.2901569764,345832.36726533,1.18050124748941,3.45318501416983
2290,1428,4591.16742951924,4705.65752158995,2645.23310794731,1276.12399618535,2645.23310794731,7101.87904446002,0.205137246588335,1.76911083835365
2338,2632,29570.5495543367,29218.4568764978,15082.0346204486,5638.51155504694,15082.0346204486,41320.8388455163,-0.235610282746033,2.26674193335289
2369,1227,37906.7839360893,38627.2333258793,24410.4670930029,6351.2789690379,24410.4670930029,50376.1006820113,-0.317120874906725,2.20076552295842
2393,1229,2067.93323236247,2066.66093825497,1302.55655327272,438.075871543182,1302.55655327272,2865.32131614868,0.0677195153800929,1.55538698134823
2403,3404,69954.2271674949,62147.8427596914,46042.8874080727,19978.1703672809,46042.8874080727,129732.076529713,1.49947432755464,4.08932579051391
2408,3558,20993.2663260242,21484.0936730942,5446.478895251,7175.40475974345,5446.478895251,32159.5629217553,-0.353291340298632,2.01900690293537
2410,4872,1057891.21174416,991449.036879093,420252.188919766,265133.071656141,420252.188919766,1746704.49039046,0.519080495292474,2.65402991500191
2411,4499,374715.294418388,345077.459839436,41337.6193152583,142164.91328041,41337.6193152583,758578.728783375,0.582406572294528,2.3592091006899
2444,2800,4114.27600060111,3860.84687580725,1837.58470016671,1178.03742627079,1837.58470016671,6679.08014680556,0.186076447181694,2.22446910469964
2504,1576,4734.65824600858,4796.79074099494,2335.47368721827,1197.36247030707,2335.47368721827,8009.62236641932,0.382086744334383,3.06146665216051
2547,3299,42320.2514538572,38587.0853036414,23442.3894339743,10514.5887289815,23442.3894339743,72330.3082741894,0.439230868653362,2.0755872693947
2558,4791,33091.8818600072,33720.4228776977,23859.1553776123,3050.35927129231,23859.1553776123,40667.9113577018,-0.27256523439616,2.58038921269708
2574,3315,26661.3387949848,26179.0139242169,14056.5934406716,9609.68897218498,14056.5934406716,49581.4551749325,0.411848878749827,2.05770868647606
2593,1890,3080.419442326,3007.51215638078,1463.90628578173,662.613183543902,1463.90628578173,4776.06048717541,0.158372706226716,3.13141892580516
2663,4870,17426.841085895,16935.9068396781,12153.7110495807,2747.00383706057,12153.7110495807,25239.9443767231,0.454896383346069,2.40295796072819
2696,3145,32726.9914866668,31176.1559115431,11787.5672218837,13795.7667313596,11787.5672218837,70518.7288921431,0.485742847364847,2.59288287040355
2697,1688,17754.3178417365,19579.3989047977,5203.99526444189,6163.77632826324,5203.99526444189,31160.0979900579,-0.554297016650034,2.37957982862891
2698,492,7686.68538687287,7240.6372171134,6265.13926733047,1026.88693392362,6265.13926733047,9750.73166930885,0.275563910670908,1.52715371229481
2710,1602,8061.97270639024,8174.15041333108,5533.13809388348,1081.28532734966,5533.13809388348,10518.2137662829,-0.128733759897135,2.27466788931658
2721,4636,58109.0621267954,54831.7693156826,34057.3712609288,12024.0444362563,34057.3712609288,88978.0829921569,0.443703119253033,2.54510687732594
2751,4838,38038.9917537533,38293.998355171,22827.0204629834,7278.38488975018,22827.0204629834,51984.5058893629,-0.0903027161262157,1.99998721022182
2783,2068,21381.1502779918,21414.5708604566,16221.6166203725,1473.79673146613,16221.6166203725,25474.4478523637,-0.274565856711003,3.501796663155
2787,1730,2348.7400016301,2081.36522420199,921.601238004009,942.492574082181,921.601238004009,4522.59236986907,0.505574479369369,2.00603436332217
2812,560,3277.79055433843,3211.00145211223,2805.9894123797,233.808700733182,2805.9894123797,3713.93490568106,0.362969522588316,1.99340682818067
2817,2411,70399.293307774,71398.2612835825,30158.8512761032,20112.9437479897,30158.8512761032,116781.745492234,0.209098642190057,2.62153051933881
2884,2052,7745.21257187724,6896.22431375315,4944.18596150132,2985.3333586993,4944.18596150132,18809.4205454229,2.78685356951018,9.74237815960344
2968,900,1176551.39413913,1129639.4505127,961549.804523787,229236.157725668,961549.804523787,1892594.01784869,1.67948582186063,5.47282774275688
2991,2799,237824.946839567,239763.443904742,139246.237335332,43665.0070103268,139246.237335332,327696.45613256,-0.0560606782013556,1.92518748118793
3062,557,4926.24681591259,4923.44472142919,4739.57347553596,459.47134446988,3661.9926108436,6068.56308873527,-0.162517667539937,2.47518943398433
3121,2399,11563.9651922874,11654.6758473827,9001.55489609654,900.660630523711,9001.55489609654,15388.7427659732,0.0409540935498145,3.76438574919921
3138,1785,1624.18099616132,1224.64741972646,1028.55263659698,654.61353499885,1028.55263659698,3276.44854331947,0.99720148231977,2.62917191381224
3144,3400,157782.49420593,142315.295439849,101557.745981416,41761.9700161444,101557.745981416,244111.035582129,0.558401978078568,1.7840645756662
3170,3457,43975.3451192585,40120.4987692914,44908.3534646242,11886.9671867019,27784.4513337912,72893.2506336785,0.943868991295121,2.71881711033981
3221,4798,36606.6982673978,31530.3696651958,19865.6035810583,13323.6314103631,19865.6035810583,75717.8392989708,0.899379091619199,2.80038667658838
3226,4800,151765.430206568,118595.294587382,28484.7629703037,75226.0538524889,28484.7629703037,344544.671676546,0.543565234164582,2.16793621414652
3231,1075,55290.7554739597,55219.6884551914,48844.9923173331,1951.00815681799,48844.9923173331,60587.3572154546,-0.0497152191584048,3.82789479627218
3243,586,1155203.85301052,1046110.26690738,895924.304700977,265612.370888397,895924.304700977,1694987.64242477,1.02364572008049,2.38881491710531
3246,2153,3280.09929102837,3251.89597603735,883.619109421619,1230.53029051407,883.619109421619,6514.44329942388,0.00284181121291076,2.59637741800377
3278,3488,11253.4104299553,12229.724194885,5590.10230977847,3405.25742013169,5590.10230977847,19990.369694639,0.0313702133843284,1.93028511359206
3310,3136,17280.0553430703,17357.2778811638,12511.7156184579,1691.3579216499,12511.7156184579,23691.7300385157,0.338492196129369,4.20074422004928
3336,2189,13343.9921510637,13685.8739134038,8038.53821179765,1874.03628539313,8038.53821179765,17354.4346770397,-0.615877252581835,2.95549478777969
3362,968,21374.0914595661,21213.2622828187,17309.3887057448,2696.94428032338,17309.3887057448,27756.3645676237,0.556339410751481,2.23488974830725
3413,3339,25606.4302156173,23881.3410631128,14165.6518097998,6422.65598239566,14165.6518097998,37781.5430371484,0.203769169220675,1.7327056718836
3416,1706,3337.43760225865,3342.31265018928,2142.56837262872,367.815030490006,2142.56837262872,4223.28457899352,-0.383934309307723,3.4492189879999
3439,1652,9933.81080386478,10165.0136337291,7223.11971548114,902.919511691537,7223.11971548114,12135.6100146636,-0.943429999718075,3.80270013940351
3497,1395,9711.56372120886,9660.62564494461,5675.7928181829,1581.25778327409,5675.7928181829,13076.3336074334,-0.0531792795105428,2.22838020383322
3502,2397,2218.53903673106,2289.93764925517,1319.37551306583,431.43181459047,1319.37551306583,3125.69580119886,-0.221505072091698,1.99921954935078
3505,1250,9749.06823674946,9962.84624519783,5999.68863056816,1438.30928420636,5999.68863056816,12650.0196933425,-0.0326975836580512,2.38145376623046
3532,3665,27160.9144913704,27450.0040017019,4872.51390552665,9698.1423815095,4872.51390552665,48853.894396862,-0.18806381638511,2.46845257425801
3580,1678,2957.0541110203,2937.58922550983,1872.09788923265,503.352223132088,1872.09788923265,4157.43481166227,0.198275317244415,2.02716518421933
3607,911,3833.80508570577,4007.40077496452,2083.38417587339,905.408414085961,1684.22357929443,5578.49333246511,-0.725007257833546,2.96305361189809
3650,4818,19537.5966908639,21792.5111151381,3110.31269050821,11424.0351510099,3110.31269050821,44330.1190214992,-0.0113347260325984,1.57111211485004
3734,1359,7488.75610448677,7565.48239924606,4518.05173762938,1184.67037618453,4518.05173762938,10306.201613153,-0.381881525420696,3.07980230385252
3735,3529,33023.8766954212,28059.5208693699,8253.12632285366,18172.859696295,8253.12632285366,84228.0440189036,0.785915376102407,2.61537973556451
3813,4867,59375.2103616613,59311.9826438521,34021.9524203247,10767.1667092797,34021.9524203247,118389.026333662,1.13726986758376,7.18481317921247
3814,1792,4689.05590094263,4719.88244568946,3759.31458559156,294.753224001198,3759.31458559156,5281.92606694996,-0.596443170903184,3.06145040190357
3835,3697,46542.0013384161,46538.8265539953,20060.018419308,16167.9434271008,20060.018419308,71041.6293884597,-0.0614317824498744,1.47725578808296
3851,2352,19965.5752580998,16868.8471430107,16398.3559846943,6839.36769585323,13602.939991671,39156.8851792432,1.64562732554042,4.14747246778911
3863,664,2218.92061647548,2092.68481301547,1590.47238241527,483.170726294427,1590.47238241527,3200.10596602191,0.455531243253918,1.74943294631472
3897,1334,17387.2139246036,17477.5800574892,14742.1027896997,1204.71819970746,14742.1027896997,19815.9912382771,-0.172413361994514,2.15009218148149
3964,2325,3919.14692746833,4048.65089763393,1864.14681083162,767.972045950663,1864.14681083162,5343.60989420275,-0.521857132790404,2.57598853138934
3980,390,300852.069116665,309045.252589782,220776.860230762,26713.8401783699,220776.860230762,344416.107590808,-0.80799901337594,2.81000550531428
4029,3681,47154.4477213143,45366.461492763,27067.6746667314,10604.7414199231,27067.6746667314,72272.1978316141,0.455659297511221,2.55316945078705
4040,2690,8754.91120458523,8268.08829502284,2447.29895752132,2682.50976999984,2447.29895752132,14664.8499599849,-0.45432354495445,3.32637677203126
4058,1994,10283.204868806,10200.7752391632,6093.84581594497,1745.05543128002,6093.84581594497,13731.447299065,-0.361020698499282,2.36695497164366
4060,4866,76491.410542928,62973.4799654282,27785.1764526633,41878.285803108,27785.1764526633,239815.054279174,2.32972041607608,7.90965052093071
4066,4711,27594.8103325837,27028.7909989403,15337.0778140408,5080.52963726841,15337.0778140408,37252.5596141028,0.0267629991571078,1.91762736536144
4087,3965,65274.5863546018,63250.9674898744,33676.0709963092,12399.7713215255,33676.0709963092,97427.3073824576,0.246594931684501,2.54225997562835
4093,3468,79631.9333938668,90670.6056438543,33252.4147515854,32689.1517827955,33252.4147515854,138163.724189368,-0.0403413060918381,1.46975766467943
4094,785,6177.16889925811,6227.46335288653,4912.44616008072,592.992614505023,4912.44616008072,7610.99190308456,0.181508881527191,2.32074619652344
4145,2397,3362.11961730657,3398.87820114054,1566.45909554627,659.367315502941,1566.45909554627,5960.36699073704,-0.192031101609325,3.73753894216734
4194,2687,13150.7237219044,15173.4574825363,4439.51167124732,4947.63550684377,4439.51167124732,22777.6955100058,-0.417384594643487,1.9087962145213
4199,4278,24775.0223456409,19097.5235422272,7443.72694821002,13829.4732879385,7443.72694821002,49362.6951092887,0.515504485808403,1.63527973961294
4213,1616,11588.5358809759,11891.0510792946,12967.8073199553,1595.05487886911,8106.88747530673,14755.2448693884,-0.200656676051869,1.8233401671971
4242,2466,26048.5241937886,23958.2571485602,14876.691254087,9089.02003600608,14876.691254087,62028.5162847389,1.87196206149258,6.06169548224814
4245,1412,7605.67061552194,7318.82845844719,4018.11484566764,3215.13466848524,2699.50680613038,18585.2698584782,0.765173558872287,2.95479466162047
4321,3068,41879.6676782221,42197.1833393703,24769.9792494384,9191.90327348331,24769.9792494384,60366.8353564932,0.0279300162457519,1.87931472012377
4367,2668,15588.7166383645,17344.5796270409,5755.89995551299,6824.97053729443,5755.89995551299,37847.8974080568,0.283587917806256,2.60248223298888
4423,2013,4965.81277698547,4873.85912769496,3445.65588318309,809.78964265198,3445.65588318309,7825.18094825966,0.525707221835574,2.82082799331986
4439,4871,152817.063000819,49188.5625273956,28500.6804695283,187317.448355337,18180.6377081164,654379.802483035,1.34670795582131,3.09155005818211
4503,2534,437575.978272426,441596.638677257,254449.20927712,93835.0167779398,254449.20927712,605995.987204488,-0.209974279581854,1.68860518023518
4510,2572,5177.88952502167,4094.5034620765,2123.61561006638,3014.0737996021,2123.61561006638,13884.9898433759,1.43272359984364,3.88906941657091
4598,3646,35881.6539179715,35640.0070507745,15425.7557355663,11368.2032624719,15425.7557355663,65146.2124532638,0.456179293334699,2.84500443963085
4605,1682,4515.70880845109,4603.51640875386,2255.8654493181,1076.06237985918,2255.8654493181,6388.82480061749,-0.334210539845158,1.98735457520677
4611,2042,24560.3069449955,24990.9340217825,13893.7678822529,5517.46314807867,13893.7678822529,35414.1105205991,0.0770993592545717,1.89695893166886
4622,1505,1503.97522294378,1575.51549226441,1392.24811416732,259.842540081962,796.863559312441,1948.31076949314,-1.15719194090733,3.71132633190545
4669,1495,4910.77709845992,4492.48972453688,2673.69267217529,1300.80599909674,2673.69267217529,8269.75251296719,0.791132662201034,2.5826323375811
4674,280,126031.557250264,129003.542110708,95309.8883531033,12687.3769414398,95309.8883531033,139071.955726617,-1.59172478926342,4.45866019445495
4723,3092,266472.798046587,242561.477426674,164428.206760352,78667.5234692554,164428.206760352,433924.359153754,0.73881819252898,2.16866293669993
4818,355,11916.1802105481,11583.4768575376,5513.68058925067,2874.38692974086,5513.68058925067,17707.871019801,-0.190781422416208,2.89233100705431
4839,4836,190222.184354347,191083.357708205,146496.271115604,15254.7108120877,146496.271115604,243813.255196991,0.175285835601644,4.42101816820182
4844,1678,4023.11689075645,3676.92273041135,1922.58490290083,1474.12581845738,1922.58490290083,8898.10828964949,1.07969422017998,3.76343188052835
4864,275,2418.60938735218,2356.38752654623,2963.91347689059,240.059009584161,2018.24309375856,3033.60732022907,0.792790202370728,2.983423134122
4885,2237,20877.512548443,21388.2292982918,8989.5508411816,7453.75867206418,8989.5508411816,37888.4497456809,0.175755660199236,1.88262398155228
4941,4407,4624.85189252614,4482.44000551529,3056.086640471,849.216466120483,3056.086640471,6481.6247596457,0.274488474420935,1.78890286765136
4990,4839,17251.9299265187,16869.9128918315,8757.85747695852,3851.44243122102,8757.85747695852,33318.2669405491,0.535614790215593,3.13235882289312
5046,2021,33592.2478021919,33879.0900919537,16030.1112676108,8061.6538613447,16030.1112676108,48625.8158102738,-0.0570181181870969,1.94194436793747
5047,3274,558138.709309075,601210.991731163,636210.051492254,185790.480929817,209952.618493697,855743.808525695,-0.48623054901227,1.98381664996784
5048,155,264939.804049898,251976.651633706,240537.121463695,22261.5965706677,240537.121463695,301494.804263072,0.927286866760823,2.02420183990311
5071,3584,30905.3613255871,29084.3019539018,14480.0830506802,6943.76098969775,14480.0830506802,46145.199561105,0.491155982055354,2.74910141260366
5073,1211,135432.417230049,131183.285163857,74198.7846416294,43160.0195194537,74198.7846416294,274367.634630252,1.89769724154518,7.28072482000328
5087,1683,6456.37463401372,6172.51992115204,4566.56658993156,1197.66441597778,4566.56658993156,10714.6762316315,1.41585271549073,4.6900484718761
5135,653,7466.79177816164,7057.94103980592,6406.44120536617,772.528344719787,6406.44120536617,9485.00542107592,0.300582842616093,1.68346839227084
5179,1711,1015.98590616495,996.97714818019,1085.44864985413,124.996777454129,659.06875828514,1289.00373814188,-0.0963795692451,2.09074222553426
5180,4599,375463.074126276,368055.82356128,216354.484410243,59735.73907642,216354.484410243,535613.927107499,0.252015274474607,3.14399934893915
5229,2701,9342.24994526173,8366.62214124834,6527.89780685138,3889.96148890384,3787.27215394629,20425.1306832145,1.05531427313252,3.75112166172556
5234,4850,13246.1155044551,13005.535560643,7107.91890431959,2587.17671906333,7107.91890431959,18060.5253984858,-0.0781862214331523,2.04393004206676
5301,759,2487.5421447759,2408.73631463248,2076.08498432611,310.093890307098,2076.08498432611,3596.02961465062,1.44241253757257,4.82324232536497
5439,3472,36682.3309685972,38138.975371718,8291.61189116974,12921.6976094473,8291.61189116974,73137.7129181187,-0.00851980466669989,2.77205476947135
5492,1375,6874.08468722369,7069.86993713627,6889.43103927337,1736.82627224999,3585.74722580578,10630.3580900764,-0.0583960957213179,2.15283100309722
5518,3365,6184.71722198367,5637.99407605993,3125.85887250815,2054.44183295474,3125.85887250815,12138.7313951897,0.866979448525826,2.9721256306186
5543,335,4617.08692911569,4670.76983167821,2332.32955206347,606.040690370673,2332.32955206347,5899.56347177178,-1.36244659084437,7.08411328095434
5568,291,131162.497640324,140836.520089381,95643.7472933691,16736.724959237,95643.7472933691,153625.415690649,-0.685034547677272,1.96997954776034
5597,1702,13323.8020520956,11601.3930802138,8058.44411305969,4419.44714623334,8058.44411305969,24586.5671960934,1.31903978629347,3.36694573469882
5600,3405,16921.5832206228,15898.4473355942,12572.0984279132,4351.56604914652,7696.08290498727,28930.2428246463,0.924073290163685,3.16065005269189
5606,1234,126509.016563605,120445.151181985,75722.1488892851,26824.1985508924,75722.1488892851,183968.328935637,0.482120468921091,2.2700720273306
